district,fiscal_year,remittance_musd,source_pdf
Rajbari,FY2023-24,93.8,report_june2025.pdf
Rajshahi,FY2023-24,85.3,report_june2025.pdf
Rangamati,FY2023-24,19.6,report_june2025.pdf
Rangpur,FY2023-24,59.4,report_june2025.pdf
Satkhira,FY2023-24,76.9,report_june2025.pdf
Shariatpur,FY2023-24,287.3,report_june2025.pdf
Sherpur,FY2023-24,31.7,report_june2025.pdf
Sirajganj,FY2023-24,86.1,report_june2025.pdf
Sunamganj,FY2023-24,322.9,report_june2025.pdf
Sylhet,FY2023-24,1339.3,report_june2025.pdf
Tangail,FY2023-24,391.7,report_june2025.pdf
Thakurgaon,FY2023-24,26.1,report_june2025.pdf
Bagerhat,FY2024-25,92.5,report_july2025.pdf
Bandarban,FY2024-25,26.7,report_july2025.pdf
Barguna,FY2024-25,83.8,report_july2025.pdf
Barisal,FY2024-25,337.0,report_july2025.pdf
Bhola,FY2024-25,136.9,report_july2025.pdf
Bogura,FY2024-25,209.3,report_july2025.pdf
Brahmanbaria,FY2024-25,832.4,report_july2025.pdf
Chandpur,FY2024-25,795.7,report_july2025.pdf
Chapainawabganj,FY2024-25,140.4,report_july2025.pdf
Chattogram,FY2024-25,2442.5,report_july2025.pdf
Chuadanga,FY2024-25,138.5,report_july2025.pdf
Comilla,FY2024-25,1567.2,report_july2025.pdf
Coxsbazar,FY2024-25,190.8,report_july2025.pdf
Dhaka,FY2024-25,10569.1,report_july2025.pdf
Dinajpur,FY2024-25,77.2,report_july2025.pdf
Faridpur,FY2024-25,325.7,report_july2025.pdf
Feni,FY2024-25,873.5,report_july2025.pdf
Gaibandha,FY2024-25,80.1,report_july2025.pdf
Gazipur,FY2024-25,438.5,report_july2025.pdf
Gopalganj,FY2024-25,181.4,report_july2025.pdf
Habiganj,FY2024-25,365.8,report_july2025.pdf
Jamalpur,FY2024-25,170.1,report_july2025.pdf
Jashore,FY2024-25,233.5,report_july2025.pdf
Jhalokati,FY2024-25,77.5,report_july2025.pdf
Jhenaidah,FY2024-25,129.6,report_july2025.pdf
Joypurhat,FY2024-25,42.6,report_july2025.pdf
Khagrachhari,FY2024-25,44.2,report_july2025.pdf
Khulna,FY2024-25,174.6,report_july2025.pdf
Kishoreganj,FY2024-25,440.3,report_july2025.pdf
Kurigram,FY2024-25,53.4,report_july2025.pdf
Kushtia,FY2024-25,206.0,report_july2025.pdf
Lakshmipur,FY2024-25,480.0,report_july2025.pdf
Lalmonirhat,FY2024-25,25.3,report_july2025.pdf
